BELGRADE_cloud_cover,BELGRADE_humidity,BELGRADE_pressure,BELGRADE_global_radiation,BELGRADE_precipitation,BELGRADE_sunshine,BELGRADE_temp_mean,BELGRADE_temp_min,BELGRADE_temp_max
3,0.56,1.0129,2.12,0.61,10.0,20.1,13.2,27.3
8,0.83,1.0144,0.52,1.15,0.0,15.0,13.0,19.5
8,0.72,1.0231,0.64,0.0,0.2,12.9,11.6,16.7
5,0.66,1.0269,1.5,0.0,5.0,12.2,8.2,18.0
0,0.68,1.0236,2.04,0.0,10.0,11.3,5.7,18.9
0,0.63,1.0169,2.06,0.0,10.3,12.2,5.0,20.1
4,0.7,1.0139,1.55,0.0,5.7,13.5,5.2,18.6
6,0.88,1.0085,0.48,0.6,0.0,12.5,11.7,14.5
6,0.74,1.0116,1.02,0.07,2.1,13.5,9.2,17.7
4,0.77,1.0151,1.53,0.0,5.9,12.9,10.9,17.5
7,0.75,1.0154,0.93,0.23,1.7,18.1,9.9,24.0
5,0.78,1.0236,1.55,0.0,6.4,14.7,11.0,20.0
2,0.63,1.022,1.9,0.0,10.0,15.8,10.9,21.6
0,0.75,1.0191,1.89,0.0,10.1,13.7,9.7,19.1
5,0.67,1.0165,1.65,0.0,7.8,15.6,12.8,22.7
4,0.69,1.0119,1.5,0.02,6.5,17.8,13.9,25.0
5,0.71,1.0051,1.45,0.45,6.1,17.8,15.4,24.5
5,0.64,1.0086,1.33,0.0,5.2,16.5,13.5,21.6
1,0.58,1.0118,1.78,0.0,9.9,17.1,10.2,24.1
7,0.6,1.0064,1.01,0.69,2.8,18.5,14.5,24.1
5,0.77,1.0031,1.22,0.43,4.6,15.4,12.0,22.4
5,0.89,1.0083,0.48,0.1,0.1,10.8,9.3,13.0
8,0.89,1.0099,0.74,0.6,1.2,9.7,8.0,14.3
1,0.66,1.0209,1.65,0.0,9.4,11.1,4.6,16.8
5,0.64,1.0137,0.85,0.15,2.0,14.0,9.0,18.6
8,0.78,1.0095,0.91,0.16,2.5,15.1,12.1,22.0
7,0.89,1.0126,1.06,0.52,3.8,11.2,9.3,15.8
4,0.83,1.0189,1.19,0.0,5.1,8.5,6.2,13.6
0,0.64,1.0179,1.56,0.0,9.4,9.4,2.5,15.2
5,0.58,1.0138,1.31,0.0,6.6,13.6,4.1,18.7
7,0.71,1.0095,0.52,0.25,0.4,14.7,11.6,18.7
2,0.58,1.0157,1.51,0.0,9.3,14.4,9.5,21.5
3,0.6,1.0166,1.35,0.0,7.6,17.4,9.3,25.5
6,0.56,1.0154,0.78,0.0,2.1,21.0,16.2,27.1
4,0.63,1.0139,1.01,0.0,4.2,19.5,17.3,27.9
7,0.49,1.0078,0.34,0.0,0.0,20.8,16.6,26.0
5,0.73,1.0127,1.36,0.0,8.4,16.2,13.1,22.8
4,0.57,1.0174,1.25,0.0,7.3,17.7,11.8,23.0
7,0.53,1.0111,1.01,0.0,4.6,20.9,17.2,25.4
7,0.65,1.0075,0.52,0.11,0.7,15.9,11.8,21.7
6,0.63,1.0132,1.12,0.0,6.1,13.8,10.7,18.9
7,0.72,1.0153,0.88,0.0,3.6,13.4,10.6,17.9
7,0.62,1.0143,0.45,0.0,0.4,15.4,11.3,18.3
7,0.79,1.019,1.09,0.03,6.2,15.3,11.9,20.8
4,0.69,1.0181,1.18,0.0,7.5,17.3,12.2,22.8
7,0.47,1.0075,0.41,0.03,0.3,19.3,15.6,22.6
8,0.88,1.0111,0.3,1.71,0.0,12.1,11.5,21.0
