BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max
3,0.55,1.018,3.49,0.0,14.1,14.8,5.2,22.6
1,0.52,1.018,3.26,0.0,12.3,14.4,6.2,21.4
6,0.54,1.018,2.9,0.0,9.6,16.2,8.3,22.3
7,0.66,1.018,1.38,0.02,1.2,17.0,11.3,24.4
8,0.63,1.018,2.02,0.14,4.1,17.6,14.0,24.4
5,0.61,1.018,2.75,1.23,8.6,17.7,10.4,23.9
5,0.63,1.018,2.2,0.84,5.1,14.8,13.0,21.1
7,0.67,1.018,1.05,0.05,0.3,14.2,11.3,18.4
6,0.73,1.018,0.83,0.04,0.0,14.7,9.4,19.3
5,0.79,1.018,1.13,0.21,0.5,15.9,13.3,19.2
6,0.62,1.018,2.64,0.34,8.0,15.4,11.4,20.2
2,0.55,1.018,3.32,0.0,13.1,17.6,9.8,25.3
6,0.64,1.018,2.54,0.25,7.4,17.9,10.7,26.9
5,0.75,1.018,1.71,0.3,2.7,15.6,11.7,22.5
4,0.62,1.018,3.07,0.0,11.3,16.5,9.1,23.1
6,0.53,1.018,2.63,0.0,8.1,19.7,10.0,26.3
8,0.75,1.018,0.81,0.0,0.0,16.8,15.7,19.3
8,0.83,1.018,0.91,1.54,0.1,15.4,13.4,18.7
7,0.71,1.018,2.11,0.24,4.9,16.5,12.0,24.1
4,0.69,1.018,2.92,0.0,10.4,16.5,9.4,23.5
7,0.63,1.018,1.79,0.0,3.2,16.0,11.8,22.8
7,0.68,1.018,1.74,0.08,3.0,12.8,10.5,18.7
1,0.6,1.018,3.13,0.0,12.2,14.9,8.8,22.9
5,0.6,1.018,2.69,0.0,8.9,17.7,8.4,25.3
7,0.64,1.018,2.27,0.07,6.1,18.4,13.8,24.4
8,0.67,1.018,0.95,0.0,0.2,15.5,12.0,19.8
8,0.7,1.018,1.24,0.0,1.0,16.9,10.2,21.2
1,0.59,1.018,3.31,0.0,14.1,21.1,12.3,29.5
7,0.77,1.018,1.68,0.39,2.9,19.2,15.7,28.5
7,0.74,1.018,1.9,1.65,4.1,17.9,15.4,25.7
7,0.74,1.018,1.3,0.18,1.3,15.4,13.7,21.2
6,0.79,1.018,1.76,0.86,3.4,13.6,11.5,20.2
3,0.67,1.018,2.82,0.0,10.5,15.3,9.0,23.4
3,0.62,1.018,2.93,0.72,11.5,18.5,8.8,26.2
8,0.84,1.018,1.33,1.23,1.5,16.2,14.0,22.4
6,0.67,1.018,2.33,0.0,7.1,17.7,13.8,23.9
7,0.72,1.018,1.94,0.36,4.6,17.6,12.1,24.5
8,0.8,1.018,1.06,0.93,0.6,15.4,13.6,21.0
7,0.7,1.018,2.0,0.0,5.1,16.3,13.2,21.8
5,0.73,1.018,1.76,0.0,3.7,16.0,11.6,22.5
7,0.68,1.018,1.85,2.41,4.3,17.7,11.4,26.5
7,0.85,1.018,1.31,2.5,1.6,14.7,13.2,19.2
5,0.65,1.018,1.92,0.15,4.8,13.4,10.2,21.0
6,0.69,1.018,1.84,0.1,4.4,15.6,8.9,23.0
6,0.65,1.018,1.99,0.04,5.4,15.9,12.7,21.3
5,0.67,1.018,2.17,0.0,6.7,16.1,11.7,23.7
5,0.69,1.018,1.98,0.71,5.5,17.7,10.0,23.9
7,0.73,1.018,1.58,2.8,3.1,18.1,15.3,26.4
7,0.64,1.018,1.78,0.0,4.3,14.7,13.2,20.1
6,0.58,1.018,2.27,0.0,7.8,17.5,11.0,23.9
3,0.62,1.018,2.67,0.0,11.1,18.2,13.8,26.6
1,0.63,1.018,2.86,0.0,13.0,21.2,12.2,31.0
5,0.62,1.018,2.58,0.0,10.6,22.6,14.7,31.2
4,0.64,1.018,2.53,0.0,10.3,23.0,16.8,31.3
0,0.7,1.018,2.61,0.01,11.1,22.3,16.3,31.8
4,0.7,1.018,2.6,0.0,11.2,21.5,14.3,29.9
6,0.79,1.018,1.83,0.86,5.2,21.3,15.6,28.3
7,0.92,1.018,1.04,0.93,1.0,17.4,15.6,21.5
6,0.78,1.018,2.15,0.09,7.8,17.7,13.7,23.7
6,0.75,1.018,1.76,0.06,5.0,14.4,12.3,20.1
8,0.84,1.018,0.81,0.02,0.3,13.9,12.2,18.2
5,0.8,1.018,2.09,0.0,7.9,14.8,10.0,22.4
5,0.77,1.018,1.76,0.0,5.3,15.6,10.4,23.1
2,0.71,1.018,2.44,1.99,11.5,18.2,10.6,26.2
7,0.92,1.018,1.09,0.91,1.3,14.0,11.5,20.7
8,0.85,1.018,0.59,0.0,0.0,11.9,10.2,16.1
8,0.81,1.018,0.82,0.0,0.4,12.2,7.7,16.0
8,0.83,1.018,0.58,0.79,0.0,13.7,9.9,17.1
6,0.95,1.018,0.68,0.08,0.1,11.5,10.4,14.4
4,0.8,1.018,2.03,0.0,8.5,12.2,8.0,19.9
0,0.78,1.018,2.31,0.0,11.5,12.9,5.8,22.2
0,0.8,1.018,2.3,0.0,11.6,13.9,7.4,24.7
0,0.75,1.018,2.29,0.0,11.7,15.0,7.9,25.4
7,0.85,1.018,1.54,0.11,4.7,15.7,9.6,23.4
7,0.89,1.018,1.42,0.0,3.9,15.2,13.7,23.0
8,0.9,1.018,0.84,0.46,0.7,15.2,12.0,18.7
8,0.81,1.018,1.14,0.24,2.2,14.1,12.0,20.7
6,0.81,1.018,1.8,0.0,7.5,13.2,9.1,21.0
7,0.85,1.018,1.27,0.02,3.2,13.6,6.9,19.2
8,0.9,1.018,0.51,0.75,0.0,13.1,11.9,14.9
6,0.87,1.018,0.75,0.05,0.5,9.0,6.5,13.3
7,0.84,1.018,0.5,0.01,0.0,9.4,5.9,11.6
1,0.82,1.018,1.89,0.0,9.3,9.5,3.2,18.0
7,0.81,1.018,1.59,0.0,6.4,11.5,3.6,19.1
6,0.89,1.018,1.2,0.0,3.2,12.3,6.6,19.3
6,0.88,1.018,1.65,0.0,7.3,12.5,9.6,18.2
7,0.88,1.018,1.2,0.0,3.4,12.1,7.9,16.2
6,0.81,1.018,1.19,0.0,3.4,11.7,7.2,17.6
8,0.87,1.018,0.59,0.86,0.2,10.4,6.8,13.1
6,0.94,1.018,0.45,0.02,0.0,9.4,6.8,13.1
8,0.94,1.018,0.45,1.08,0.0,10.0,6.5,11.0
6,0.79,1.018,1.44,0.0,6.2,12.5,8.6,20.1
4,0.77,1.018,1.31,0.39,5.0,13.0,5.7,20.2
7,0.84,1.018,1.25,0.08,4.6,15.2,10.1,22.2
6,0.89,1.018,0.5,0.04,0.1,13.4,10.7,17.6
6,0.82,1.018,1.43,0.0,6.7,13.8,8.1,22.7
8,0.93,1.018,0.41,0.32,0.0,12.5,8.3,15.3
8,0.84,1.018,0.61,0.15,0.5,12.1,10.1,15.2
5,0.83,1.018,1.3,0.54,5.8,12.4,9.8,19.1
8,0.9,1.018,0.62,0.69,0.6,8.9,6.6,11.4
7,0.67,1.018,0.76,0.14,1.4,9.9,7.1,14.2
8,0.81,1.018,0.38,0.14,0.0,8.4,6.0,10.7
7,0.81,1.018,0.99,0.01,3.3,5.8,4.0,10.2
3,0.8,1.018,1.49,0.0,9.1,5.5,1.8,11.9
8,0.81,1.018,0.99,0.1,3.5,4.6,-1.2,11.4
